"衛","エイ, エ","defense, protection"
"易","エキ, イ, やさ.しい, やす.い","easy, ready to, simple, fortune-telling, divination"
"疫","エキ, ヤク","epidemic"
"益","エキ, ヤク, ま.す","benefit, gain, profit, advantage"
"液","エキ","fluid, liquid, juice, sap, secretion"
"駅","エキ","station"
"悦","エツ, よろこ.ぶ, よろこ.ばす","ecstasy, joy, rapture"
"越","エツ, オツ, こ.す, -こ.す, -ご.し, こ.える, -ご.え","surpass, cross over, move to, exceed, Vietnam"
"謁","エツ","audience, audience (with king)"
"閲","エツ, けみ.する","review, inspection, revision"
"円","エン, まる.い, まる, まど, まど.か, まろ.やか","circle, yen, round"
"延","エン, の.びる, の.べる, の.べ, の.ばす","prolong, stretching"
"沿","エン, そ.う, -ぞ.い","run alongside, follow along, run along, lie along"
"炎","エン, ほのお","inflammation, flame, blaze"
"怨","エン, オン, ウン, うら.む, うらみ, うら.めしい","grudge, show resentment, be jealous"
"宴","エン, うたげ","banquet, feast, party"
"媛","エン, ひめ","beautiful woman, princess"
"援","エン","abet, help, save"
"園","エン, その","park, garden, yard, farm"
"煙","エン, けむ.る, けむり, けむ.い","smoke"
"猿","エン, さる","monkey"
"遠","エン, オン, とお.い","distant, far"
"鉛","エン, なまり","lead"
"塩","エン, しお","salt"
"演","エン","performance, act, play, render, stage"
"縁","エン, -ネン, ふち, ふち.どる, ゆかり, よすが, へり, えにし","affinity, relation, connection, edge, border, verge, brink"
"艶","エン, つや, なま.めかしい, あで.やか, つや.めく, なま.めく","glossy, luster, glaze, polish, charm, colorful, captivating"
"汚","オ, けが.す, けが.れる, けが.らわしい, よご.す, よご.れる, きたな.い","dirty, pollute, disgrace, rape, defile"
"王","オウ, -ノウ","king, rule, magnate"
"凹","オウ, くぼ.む, へこ.む, ぼこ","concave, hollow, sunken"
"央","オウ","center, middle"
"応","オウ, ヨウ, -ノウ, あた.る, まさに, こた.える","apply, answer, yes, OK, reply, accept"
"往","オウ, い.く, いにしえ, さき.に, ゆ.く","journey, travel, chase away, let go, going, before, formerly"
"押","オウ, お.す, お.し-, お.っ-, お.さえる, おさ.える","push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of"
"旺","オウ, さかん","flourishing, successful, beautiful, vigorous"
"欧","オウ, うた.う, は.く","Europe"
"殴","オウ, なぐ.る","assault, hit, beat, thrash"
"桜","オウ, ヨウ, さくら","cherry"
"翁","オウ, おきな","venerable old man"
"奥","オウ, おく, おく.まる, くま","heart, interior"
"横","オウ, よこ","sideways, side, horizontal, width, woof, unreasonable, perverse"
"岡","コウ, おか","mount, hill, knoll"
"屋","オク, や","roof, house, shop, dealer, seller"
"億","オク","hundred million, 10**8"
"憶","オク","recollection, think, remember"
"臆","オク, ヨク, むね, おくする","timidity, heart, mind, fear, cowardly"
"虞","グ, おそれ, おもんぱか.る, はか.る, うれ.える, あざむ.く, あやま.る, のぞ.む, たの.しむ","fear, uneasiness, anxiety, concern, expectation, consideration"
"乙","オツ, イツ, おと-, きのと","the latter, duplicate, strange, witty, fishhook radical (no. 5)"
"俺","エン, おれ, われ","I, myself"
"卸","シャ, おろ.す, おろし, おろ.し","wholesale"
"音","オン, イン, -ノン, おと, ね","sound, noise"
"恩","オン","grace, kindness, goodness, favor, mercy, blessing, benefit"
"温","オン, あたた.か, あたた.かい, あたた.まる, あたた.める, ぬく","warm"
"穏","オン, おだ.やか","calm, quiet, moderation"
"下","カ, ゲ, した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","below, down, descend, give, low, inferior"
"化","カ, ケ, ば.ける, ば.かす, ふ.ける, け.する","change, take the form of, influence, enchant, delude, -ization"
"火","カ, ひ, -び, ほ-","fire"
"加","カ, くわ.える, くわ.わる","add, addition, increase, join, include, Canada"
"可","カ, コク, -べ.き, -べ.し","can, passable, approval"
"仮","カ, ケ, かり, かり-","sham, temporary, interim, assumed (name), informal"
"何","カ, なに, なん, なに-, なん-","what"
"花","カ, ケ, はな","flower"
"佳","カ","excellent, beautiful, good, pleasing, skilled"
"価","カ, ケ, あたい","value, price"
"果","カ, は.たす, はた.す, -は.たす, は.てる, -は.てる, は.て","fruit, reward, carry out, achieve, complete, end, finish, succeed"
"河","カ, かわ","river"
"苛","カ, いじ.める, さいな.む, いらだ.つ, からい, こまかい","torment, scold, chastise"
"科","カ","department, course, section"
"架","カ, か.ける, か.かる","erect, frame, mount, support, shelf, construct"
"夏","カ, ガ, ゲ, なつ","summer"
"家","カ, ケ, いえ, や, うち","house, home, family, professional, expert, performer"
"荷","カ, に","baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight"
"華","カ, ケ, はな","splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous"
"菓","カ","candy, cakes, fruit"
"貨","カ, たから","freight, goods, property"
"渦","カ, うず","whirlpool, eddy, vortex"
"過","カ, す.ぎる, す.ごす, あやま.ち, あやま.つ, よぎ.る, よ.ぎる","overdo, exceed, go beyond, error"
"嫁","カ, よめ, とつ.ぐ, い.く, ゆ.く","marry into, bride"
"暇","カ, ひま, いとま","spare time, rest, leisure, time, leave of absence"
"禍","カ, わざわい","calamity, misfortune, evil, curse"
"靴","カ, くつ","shoes"
"寡","カ","widow, minority, few"
"歌","カ, うた, うた.う","song, sing"
"箇","カ, コ","counter for articles"
"稼","カ, かせ.ぐ","earnings, work, earn money"
"課","カ","chapter, lesson, section, department, division, counter for chapters (of a book)"
"蚊","ブン, か","mosquito"
"牙","ガ, ゲ, きば, は","tusk, fang, tusk radical (no. 92)"
