"侈","シ, おご.る","luxury, pride"
"侏","シュ","actor, supporting post"
"侘","タ, わび.しい, ほこ.る, わ.びる","proud, lonely"
"佻","チョウ, ジョウ, ヨウ, かる.い","frivolity"
"佩","ハイ, は.く, お.びる, おびだま","wear, put on (a sword)"
"佰","ヒャク, ハク, おさ","hundred, leader of 100 men, east-west path between paddies"
"侑","ユウ, ウ, すす.める, たす.ける","urge to eat"
"佯","ヨウ, いつわ.る","pretend, feign, false, deceitful"
"來","ライ, タイ, く.る, きた.る, きた.す, き.たす, き.たる","come, due, next, cause, become"
"侖","リン, ロン, おも.う","think, be methodical"
"俄","ガ, にわか","sudden, abrupt, improvised"
"係","ケイ, かか.る, かかり, -がかり, かか.わる","person in charge, connection, duty, concern oneself"
"侯","コウ","marquis, lord, daimyo"
"俊","シュン","sagacious, genius, excellence"
"信","シン","faith, truth, fidelity, trust"
"侵","シン, おか.す","encroach, invade, raid, trespass, violate"
"促","ソク, うなが.す","stimulate, urge, press, demand, incite"
"俗","ゾク","vulgar, customs, manners, worldliness, mundane things"
"便","ベン, ビン, たよ.り","convenience, facility, excrement, feces, letter, chance"
"保","ホ, ホウ, たも.つ","protect, guarantee, keep, preserve, sustain, support"
"俣","また","crotch, thigh, groin, fork, junction, (kokuji)"
"侶","リョ, ロ, とも","companion, follower"
"俔","ケン, たと.える, うかが.う","compare, spy on"
"俟","シ, ま.つ","wait, depend on"
"俎","ソ, ショ, いた, まないた","altar of sacrifice, chopping board"
"俘","フ, とりこ","captive"
"俑","ヨウ, トウ, ユウ","effigy"
"俚","リ, いや.しい","rustic, ill mannered"
"俐","リ, かしこ.い","clever"
"俤","おもかげ","visage, face, trace, shadow, memory, (kokuji)"
"俥","くるま","jinricksha, rickshaw, (kokuji)"
"俺","エン, おれ, われ","I, myself"
"倶","グ, ク, とも.に","both, together, alike"
"倹","ケン, つま.しい, つづまやか","frugal, economy, thrifty"
"個","コ, カ","individual, counter for articles"
"候","コウ, そうろう","climate, season, weather, wait for, expect"
"倖","コウ, しあわ.せ, さいわ.い","happiness, luck"
"借","シャク, か.りる","borrow, rent"
"修","シュウ, シュ, おさ.める, おさ.まる","discipline, conduct oneself well, study, master"
"倉","ソウ, くら","godown, warehouse, storehouse, cellar, treasury"
"値","チ, ね, あたい","price, cost, value"
"倒","トウ, たお.れる, -だお.れ, たお.す, さかさま, さかさ, さかしま","overthrow, fall, collapse, drop, break down"
"俳","ハイ","haiku, actor"
"倍","バイ","double, twice, times, fold"
"俵","ヒョウ, たわら","bag, bale, sack, counter for bags"
"倣","ホウ, なら.う","emulate, imitate"
"俸","ホウ","stipend, salary"
"倫","リン","ethics, companion"
"倭","ワ, イ, やまと, したが.う","Yamato, ancient Japan"
"倚","イ, キ, よ.る, たの.む","lean on, rest against"
"倨","キョ, コ, おご.る","pride, squatting with legs outstretched"
"倔","クツ, つよ.い","stubborn"
"倪","ゲイ, ガイ, きわ","stare"
"倥","コウ, ぬか.る","boorish, urgent"
"倅","サイ, ソツ, ソチ, せがれ","son, my son"
"俶","シュク, テキ, はじめ, よい","beginning, good, excel"
"倡","ショウ, とな.える, わざおぎ","prostitute, actor"
"倩","セン, セイ, つらつら, うつく.しい","carefully, attentively, profoundly"
"倬","タク","large, clear, remarkable"
"俾","フ, ヒ, ヘイ, かしずく, しむ","tutor"
"俯","フ, ふ.す, うつむ.く, ふ.せる","bend down, lie prostrate"
"們","モン, ともがら","plural suffix"
"倆","リョウ, たくみ","skill"
"倏","シュク, たちまち","quick, prompt"
"俱","ク, ともに","all, together, accompany"
"偽","ギ, カ, いつわ.る, にせ, いつわ.り","falsehood, lie, deceive, pretend, counterfeit, forgery"
"偶","グウ, たま","accidentally, even number, couple, man & wife, same kind"
"倦","ケン, あき.る, あぐ.む, あぐ.ねる, う.む, つか.れる","lose interest in, tire of"
"健","ケン, すこ.やか","healthy, health, strength, persistence"
"偲","サイ, シ, しの.ぶ","recollect, remember"
"側","ソク, かわ, がわ, そば","side, lean, oppose, regret"
"停","テイ, と.める, と.まる","halt, stopping"
"偵","テイ","spy"
"偏","ヘン, かたよ.る","partial, side, left-side radical, inclining, biased"
"偃","エン, ふ.せる","dam, weir"
"假","カ, ケ, かり, かり.る","temporary, interim, assumed (name), informal"
"偕","カイ, ともに","together"
"偈","ゲ, ケツ, ケイ, いこ.う","verse in praise of Buddha, fast, healthy, rest"
"做","サ, サク, ソ, な.す, つく.る","make"
"偖","シャ, さて","well, now"
"偬","ソウ, くる.しむ","feel pain, suffer"
"偸","ツ, トウ, チュウ, ぬす.む","steal"
"偉","イ, えら.い","admirable, greatness, remarkable, conceited, famous, excellent"
"僅","キン, ゴン, わず.か","a wee bit"
"傘","サン, かさ","umbrella"
"備","ビ, そな.える, そな.わる, つぶさ.に","equip, provision, preparation"
"傍","ボウ, かたわ.ら, わき, おか-, はた, そば","bystander, side, besides, while, nearby, third person"
"傀","カイ, おおき.い","large"
"傚","コウ, なら.う","imitate, follow, emulate"
"傅","フ, かしず.く, つく, もり","tutor"
"傾","ケイ, かたむ.く, かたむ.ける, かたぶ.く, かた.げる, かし.げる","lean, incline, tilt, trend, wane, sink, ruin, bias"
