"鎖","サ, くさり, とざ.す","chain, irons, connection"
"刷","サツ, す.る, -ず.り, -ずり, は.く","printing, print, brush"
"亀","キ, キュウ, キン, かめ","tortoise, turtle"
"糧","リョウ, ロウ, かて","provisions, food, bread"
"梶","ビ, かじ, こずえ","sculling oar"
"湯","トウ, ゆ","hot water, bath, hot spring"
"箱","ソウ, はこ","box, chest, case, bin, railway car"
"簿","ボ","register, record book"
"炉","ロ, いろり","hearth, furnace, kiln, reactor"
"牧","ボク, まき","breed, care for, shepherd, feed, pasture"
"殊","シュ, こと","particularly, especially, exceptionally"
"殖","ショク, ふ.える, ふ.やす","augment, increase, multiply, raise"
"艦","カン","warship"
"溶","ヨウ, と.ける, と.かす, と.く","melt, dissolve, thaw"
"輩","ハイ, -ばら, やから, やかい, ともがら","comrade, fellow, people, companions"
"穴","ケツ, あな","hole, aperture, slit, cave, den"
"奇","キ, く.しき, あや.しい, くし, めずら.しい","strange, strangeness, curiosity"
"慢","マン","ridicule, laziness"
"鶴","カク, つる","crane, stork"
"謀","ボウ, ム, はか.る, たばか.る, はかりごと","conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive"
"暖","ダン, ノン, あたた.か, あたた.かい, あたた.まる, あたた.める","warmth"
"昌","ショウ, さかん","prosperous, bright, clear"
"拍","ハク, ヒョウ","clap, beat (music)"
"朗","ロウ, ほが.らか, あき.らか","melodious, clear, bright, serene, cheerful"
"丈","ジョウ, たけ, だけ","length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely"
"鉱","コウ, あらがね","mineral, ore"
"寛","カン, くつろ.ぐ, ひろ.い, ゆる.やか","tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded"
"覆","フク, おお.う, くつがえ.す, くつがえ.る","capsize, cover, shade, mantle, be ruined"
"胞","ホウ","placenta, sac, sheath"
"泣","キュウ, な.く","cry, weep, moan"
"涙","ルイ, レイ, なみだ","tears, sympathy"
"隔","カク, へだ.てる, へだ.たる","isolate, alternate, distance, separate, gulf"
"浄","ジョウ, セイ, きよ.める, きよ.い","clean, purify, cleanse, exorcise, Manchu Dynasty"
"匹","ヒツ, ひき","equal, head, counter for small animals, roll of cloth"
"没","ボツ, モツ, おぼ.れる, しず.む, ない","drown, sink, hide, fall into, disappear, die"
"暇","カ, ひま, いとま","spare time, rest, leisure, time, leave of absence"
"肺","ハイ","lungs"
"孫","ソン, まご","grandchild, descendants"
"貞","テイ, ジョウ, ただし.い, さだ","upright, chastity, constancy, righteousness"
"靖","セイ, ジョウ, やす.んじる","peaceful"
"鑑","カン, かんが.みる, かがみ","specimen, take warning from, learn from"
"飼","シ, か.う","domesticate, raise, keep, feed"
