"円","エン, まる.い, まる, まど, まど.か, まろ.やか","circle, yen, round"
"関","カン, せき, -ぜき, かか.わる, からくり, かんぬき","connection, barrier, gateway, involve, concerning"
"決","ケツ, き.める, -ぎ.め, き.まる, さ.く","decide, fix, agree upon, appoint"
"子","シ, ス, ツ, こ, -こ, ね","child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac"
"動","ドウ, うご.く, うご.かす","move, motion, change, confusion, shift, shake"
"京","キョウ, ケイ, キン, みやこ","capital, 10**16"
"全","ゼン, まった.く, すべ.て","whole, entire, all, complete, fulfill"
"目","モク, ボク, め, -め, ま-","eye, class, look, insight, experience, care, favor"
"表","ヒョウ, おもて, -おもて, あらわ.す, あらわ.れる, あら.わす","surface, table, chart, diagram"
"戦","セン, いくさ, たたか.う, おのの.く, そよ.ぐ, わなな.く","war, battle, match"
"経","ケイ, キョウ, キン, へ.る, た.つ, たていと, はか.る, のり","sutra, longitude, pass thru, expire, warp"
"通","ツウ, ツ, とお.る, とお.り, -とお.り, -どお.り, とお.す, とお.し, -どお.し, かよ.う","traffic, pass through, avenue, commute, counter for letters, notes, documents, etc."
"外","ガイ, ゲ, そと, ほか, はず.す, はず.れる, と-","outside"
"最","サイ, シュ, もっと.も, つま","utmost, most, extreme"
"言","ゲン, ゴン, い.う, こと","say, word"
"氏","シ, うじ, -うじ","family name, surname, clan"
"現","ゲン, あらわ.れる, あらわ.す, うつつ, うつ.つ","present, existing, actual"
"理","リ, ことわり","logic, arrangement, reason, justice, truth"
"調","チョウ, しら.べる, しら.べ, ととの.う, ととの.える","tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate"
"体","タイ, テイ, からだ, かたち","body, substance, object, reality, counter for images"
"化","カ, ケ, ば.ける, ば.かす, ふ.ける, け.する","change, take the form of, influence, enchant, delude, -ization"
"田","デン, た","rice field, rice paddy"
"当","トウ, あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし","hit, right, appropriate, himself"
"八","ハチ, ハツ, や, や.つ, やっ.つ, よう","eight, eight radical (no. 12)"
"六","ロク, リク, む, む.つ, むっ.つ, むい","six"
"約","ヤク, つづ.まる, つづ.める, つづま.やか","promise, approximately, shrink"
"主","シュ, ス, シュウ, ぬし, おも, あるじ","lord, chief, master, main thing, principal"
"題","ダイ","topic, subject"
"下","カ, ゲ, した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","below, down, descend, give, low, inferior"
"首","シュ, くび","neck, counter for songs and poems"
"意","イ","idea, mind, heart, taste, thought, desire, care, liking"
"法","ホウ, ハッ, ホッ, フラン, のり","method, law, rule, principle, model, system"
"不","フ, ブ","negative, non-, bad, ugly, clumsy"
"来","ライ, タイ, く.る, きた.る, きた.す, き.たす, き.たる, き, こ","come, due, next, cause, become"
"作","サク, サ, つく.る, つく.り, -づく.り","make, production, prepare, build"
"性","セイ, ショウ, さが","sex, gender, nature"
"的","テキ, まと","bull's eye, mark, target, object, adjective ending"
"要","ヨウ, い.る, かなめ","need, main point, essence, pivot, key to"
"用","ヨウ, もち.いる","utilize, business, service, use, employ"
"制","セイ","system, law, rule"
"治","ジ, チ, おさ.める, おさ.まる, なお.る, なお.す","reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve"
"度","ド, ト, タク, たび, -た.い","degrees, occurrence, time, counter for occurrences, consider, attitude"
"務","ム, つと.める","task, duties"
"強","キョウ, ゴウ, つよ.い, つよ.まる, つよ.める, し.いる, こわ.い","strong"
"気","キ, ケ, き","spirit, mind, air, atmosphere, mood"
"小","ショウ, ちい.さい, こ-, お-, さ-","little, small"
"七","シチ, なな, なな.つ, なの","seven"
"成","セイ, ジョウ, な.る, な.す, -な.す","turn into, become, get, grow, elapse, reach"
"期","キ, ゴ","period, time, date, term"
"公","コウ, ク, おおやけ","public, prince, official, governmental"
"持","ジ, も.つ, -も.ち, も.てる","hold, have"
"野","ヤ, ショ, の, の-","plains, field, rustic, civilian life"
"協","キョウ","co-, cooperation"
"取","シュ, と.る, と.り, と.り-, とり, -ど.り","take, fetch, take up"
"都","ト, ツ, みやこ","metropolis, capital, all, everything"
"和","ワ, オ, カ, やわ.らぐ, やわ.らげる, なご.む, なご.やか, あ.える","harmony, Japanese style, peace, soften, Japan"
"統","トウ, す.べる","overall, relationship, ruling, governing"
"以","イ, もっ.て","by means of, because, in view of, compared with"
"機","キ, はた","loom, mechanism, machine, airplane, opportunity, potency, efficacy, occasion"
"平","ヘイ, ビョウ, ヒョウ, たい.ら, たい.らげる, ひら","even, flat, peace"
"総","ソウ, す.べて, すべ.て, ふさ","general, whole, all, full, total"
"加","カ, くわ.える, くわ.わる","add, addition, increase, join, include, Canada"
"山","サン, セン, やま","mountain"
"思","シ, おも.う, おもえら.く, おぼ.す","think"
"家","カ, ケ, いえ, や, うち","house, home, family, professional, expert, performer"
"話","ワ, はな.す, はなし","tale, talk"
"世","セイ, セ, ソウ, よ","generation, world, society, public"
"受","ジュ, う.ける, -う.け, う.かる","accept, undergo, answer (phone), take, get, catch, receive"
"区","ク, オウ, コウ","ward, district"
"領","リョウ, えり","jurisdiction, dominion, territory, fief, reign"
"多","タ, おお.い, まさ.に, まさ.る","many, frequent, much"
"県","ケン, か.ける","prefecture"
"続","ゾク, ショク, コウ, キョウ, つづ.く, つづ.ける, つぐ.ない","continue, series, sequel"
"進","シン, すす.む, すす.める","advance, proceed, progress, promote"
"正","セイ, ショウ, ただ.しい, ただ.す, まさ, まさ.に","correct, justice, righteous, 10**40"
"安","アン, やす.い, やす.まる, やす, やす.らか","relax, cheap, low, quiet, rested, contented, peaceful"
"設","セツ, もう.ける","establishment, provision, prepare"
"保","ホ, ホウ, たも.つ","protect, guarantee, keep, preserve, sustain, support"
"改","カイ, あらた.める, あらた.まる","reformation, change, modify, mend, renew, examine, inspect, search"
