"宿","シュク, やど, やど.る, やど.す","inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling"
"対","タイ, ツイ, あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う","vis-a-vis, opposite, even, equal, versus, anti-, compare"
"局","キョク, つぼね","bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment"
"岸","ガン, きし","beach"
"島","トウ, しま","island"
"州","シュウ, ス, す","state, province"
"帳","チョウ, とばり","notebook, account book, album, curtain, veil, net, tent"
"平","ヘイ, ビョウ, ヒョウ, たい.ら, たい.らげる, ひら","even, flat, peace"
"幸","コウ, さいわ.い, さち, しあわ.せ","happiness, blessing, fortune"
"庫","コ, ク, くら","warehouse, storehouse"
"庭","テイ, にわ","courtyard, garden, yard"
"式","シキ","style, ceremony, rite, function, method, system, form, expression"
"役","ヤク, エキ","duty, war, campaign, drafted labor, office, service, role"
"息","ソク, いき","breath, respiration, son, interest (on money), rest, coming to an end"
"悲","ヒ, かな.しい, かな.しむ","grieve, sad, deplore, regret"
"想","ソウ, ソ, おも.う","idea, thought, conception, think"
"感","カン","emotion, feeling, sensation"
"打","ダ, ダース, う.つ, う.ち-, ぶ.つ","strike, hit, knock, pound, dozen"
"投","トウ, な.げる, -な.げ","throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss"
"拾","シュウ, ジュウ, ひろ.う","pick up, gather, find, go on foot, ten"
"指","シ, ゆび, さ.す, -さ.し","finger, point to, indicate, put into, play (chess), measure (ruler)"
"放","ホウ, はな.す, -っぱな.し, はな.つ, はな.れる, こ.く, ほう.る","set free, release, fire, shoot, emit, banish, liberate"
"整","セイ, ととの.える, ととの.う","organize, arranging, tune, tone, meter, key (music)"
"昔","セキ, シャク, むかし","once upon a time, antiquity, old times"
"昭","ショウ","shining, bright"
"曲","キョク, ま.がる, ま.げる, くま","bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean"
"期","キ, ゴ","period, time, date, term"
"板","ハン, バン, いた","plank, board, plate, stage"
"柱","チュウ, はしら","pillar, post, cylinder, support"
"根","コン, ね, -ね","root, radical, head (pimple)"
"植","ショク, う.える, う.わる","plant"
"様","ヨウ, ショウ, さま, さん","Esq., way, manner, situation, polite suffix"
"横","オウ, よこ","sideways, side, horizontal, width, woof, unreasonable, perverse"
"橋","キョウ, はし","bridge"
"次","ジ, シ, つ.ぐ, つぎ","next, order, sequence"
"歯","シ, よわい, は, よわ.い, よわい.する","tooth, cog"
"氷","ヒョウ, こおり, ひ, こお.る","icicle, ice, hail, freeze, congeal"
"決","ケツ, き.める, -ぎ.め, き.まる, さ.く","decide, fix, agree upon, appoint"
"油","ユ, ユウ, あぶら","oil, fat"
"波","ハ, なみ","waves, billows, Poland"
"泳","エイ, およ.ぐ","swim"
"流","リュウ, ル, なが.れる, なが.れ, なが.す, -なが.す","current, a sink, flow, forfeit"
"消","ショウ, き.える, け.す","extinguish, blow out, turn off, neutralize, cancel"
"深","シン, ふか.い, -ぶか.い, ふか.まる, ふか.める, み-","deep, heighten, intensify, strengthen"
"温","オン, あたた.か, あたた.かい, あたた.まる, あたた.める, ぬく","warm"
"港","コウ, みなと","harbor"
"湖","コ, みずうみ","lake"
"湯","トウ, ゆ","hot water, bath, hot spring"
"炭","タン, すみ","charcoal, coal"
"球","キュウ, たま","ball, sphere"
"由","ユ, ユウ, ユイ, よし, よ.る","wherefore, a reason"
"申","シン, もう.す, もう.し-, さる","have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac"
"畑","はた, はたけ, -ばたけ","farm, field, garden, one's specialty, (kokuji)"
"登","トウ, ト, ドウ, ショウ, チョウ, のぼ.る, あ.がる","ascend, climb up"
"皮","ヒ, かわ","pelt, skin, hide, leather, skin radical (no. 107)"
"皿","ベイ, さら","dish, a helping, plate"
"相","ソウ, ショウ, あい-","inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy"
"礼","レイ, ライ","salute, bow, ceremony, thanks, remuneration"
"神","シン, ジン, かみ, かん-, こう-","gods, mind, soul"
"祭","サイ, まつ.る, まつ.り, まつり","ritual, offer prayers, celebrate, deify, enshrine, worship"
"福","フク","blessing, fortune, luck, wealth"
"秒","ビョウ","second (1/60 minute)"
"章","ショウ","badge, chapter, composition, poem, design"
"童","ドウ, わらべ","juvenile, child"
"笛","テキ, ふえ","flute, clarinet, pipe, whistle, bagpipe, piccolo"
"第","ダイ, テイ","No., residence"
"筆","ヒツ, ふで","writing brush, writing, painting brush, handwriting"
"等","トウ, ひと.しい, など, -ら","etc., and so forth, class (first), quality, equal, similar"
"箱","ソウ, はこ","box, chest, case, bin, railway car"
"級","キュウ","class, rank, grade"
"緑","リョク, ロク, みどり","green"
"練","レン, ね.る, ね.り","practice, gloss, train, drill, polish, refine"
"羊","ヨウ, ひつじ","sheep"
"美","ビ, ミ, うつく.しい","beauty, beautiful"
"育","イク, そだ.つ, そだ.ち, そだ.てる, はぐく.む","bring up, grow up, raise, rear"
"苦","ク, くる.しい, -ぐる.しい, くる.しむ, くる.しめる, にが.い, にが.る","suffering, trial, worry, hardship, feel bitter, scowl"
"荷","カ, に","baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight"
"落","ラク, お.ちる, お.ち, お.とす","fall, drop, come down, village, hamlet"
"葉","ヨウ, は","leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece"
"血","ケツ, ち","blood"
"表","ヒョウ, おもて, -おもて, あらわ.す, あらわ.れる, あら.わす","surface, table, chart, diagram"
"詩","シ, うた","poem, poetry"
"調","チョウ, しら.べる, しら.べ, ととの.う, ととの.える","tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate"
"談","ダン","discuss, talk"
"豆","トウ, ズ, まめ, まめ-","beans, pea, midget"
"負","フ, ま.ける, ま.かす, お.う","defeat, negative, -, minus, bear, owe, assume a responsibility"
"路","ロ, ル, -じ, みち","path, route, road, distance"
"身","シン, み","somebody, person, one's station in life"
"農","ノウ","agriculture, farmers"
"返","ヘン, かえ.す, -かえ.す, かえ.る, -かえ.る","return, answer, fade, repay"
"追","ツイ, お.う","chase, drive away, follow, pursue, meanwhile"
"速","ソク, はや.い, はや-, はや.める, すみ.やか","quick, fast"
"遊","ユウ, ユ, あそ.ぶ, あそ.ばす","play"
"部","ブ, -べ","section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine"
"配","ハイ, くば.る","distribute, spouse, exile, rationing"
"酒","シュ, さけ, さか-","sake, alcohol"
"鉄","テツ, くろがね","iron"
"陽","ヨウ, ひ","sunshine, yang principle, positive, male, heaven, daytime"
"階","カイ, きざはし","storey, stair, counter for storeys of a building"
"面","メン, ベン, おも, おもて, つら","mask, face, features, surface"
"鼻","ビ, はな","nose, snout"
"争","ソウ, あらそ.う, いか.でか","contend, dispute, argue"
"付","フ, つ.ける, -つ.ける, -づ.ける, つ.け, つ.け-, -つ.け, -づ.け, -づけ, つ.く, -づ.く, つ.き, -つ.き, -つき, -づ.き, -づき","adhere, attach, refer to, append"
"令","レイ","orders, laws, command, decree, good"
"仲","チュウ, なか","go-between, relationship"
"伝","デン, テン, つた.わる, つた.える, つた.う, つだ.う, -づた.い, つて","transmit, go along, walk along, follow, report, communicate, legend, tradition"
"位","イ, くらい, ぐらい","rank, grade, throne, crown, about, some"
"例","レイ, たと.える","example, custom, usage, precedent"
"信","シン","faith, truth, fidelity, trust"
"倉","ソウ, くら","godown, warehouse, storehouse, cellar, treasury"
"候","コウ, そうろう","climate, season, weather, wait for, expect"
"停","テイ, と.める, と.まる","halt, stopping"
"健","ケン, すこ.やか","healthy, health, strength, persistence"
"側","ソク, かわ, がわ, そば","side, lean, oppose, regret"
"億","オク","hundred million, 10**8"
"兆","チョウ, きざ.す, きざ.し","portent, 10**12, trillion, sign, omen, symptoms"
"児","ジ, ニ, ゲイ, こ, -こ, -っこ","newborn babe, child, young of animals"
"共","キョウ, とも, とも.に, -ども","together, both, neither, all, and, alike, with"
"兵","ヘイ, ヒョウ, つわもの","soldier, private, troops, army, warfare, strategy, tactics"
"典","テン, デン, ふみ, のり","code, ceremony, law, rule"
"冷","レイ, つめ.たい, ひ.える, ひ.や, ひ.ややか, ひ.やす, ひ.やかす, さ.める, さ.ます","cool, cold (beer, person), chill"
"初","ショ, はじ.め, はじ.めて, はつ, はつ-, うい-, -そ.める, -ぞ.め","first time, beginning"
"利","リ, き.く","profit, advantage, benefit"
"刷","サツ, す.る, -ず.り, -ずり, は.く","printing, print, brush"
"副","フク","vice-, assistant, aide, duplicate, copy"
"功","コウ, ク, いさお","achievement, merits, success, honor, credit"
"加","カ, くわ.える, くわ.わる","add, addition, increase, join, include, Canada"
"努","ド, つと.める","toil, diligent, as much as possible"
"労","ロウ, ろう.する, いたわ.る, いた.ずき, ねぎら, つか.れる, ねぎら.う","labor, thank for, reward for, toil, trouble"
"勇","ユウ, いさ.む","courage, cheer up, be in high spirits, bravery, heroism"
"包","ホウ, つつ.む, くる.む","wrap, pack up, cover, conceal"
"卒","ソツ, シュツ, そっ.する, お.える, お.わる, ついに, にわか","graduate, soldier, private, die"
"協","キョウ","co-, cooperation"
"単","タン, ひとえ","simple, one, single, merely"
