"炒","ソウ, ショウ, い.る, いた.める","broil, parch, roast, fry"
"泌","ヒツ, ヒ","ooze, flow, soak in, penetrate, secrete"
"於","オ, ヨ, おい.て, お.ける, ああ, より","at, in, on, as for"
"赳","キュウ","strong and brave"
"漸","ゼン, ようや.く, やや, ようよ.う, すす.む","steadily, gradually advancing, finally, barely"
"逢","ホウ, あ.う, むか.える","meeting, tryst, date, rendezvous"
"凧","いかのぼり, たこ","kite, (kokuji)"
"鵜","テイ, ダイ, う","cormorant"
"庵","アン, いおり, いお","hermitage, retreat"
"膳","ゼン, セン, かしわ, すす.める, そな.える","small low table, tray"
"蚊","ブン, か","mosquito"
"葵","キ, あおい","hollyhock"
"厄","ヤク","unlucky, misfortune, bad luck, disaster"
"藻","ソウ, も","seaweed, duckweed"
"萬","マン, バン, よろず","ten thousand, 10,000"
"禄","ロク, さいわ.い, ふち","fief, allowance, pension, grant, happiness"
"孟","モウ, ボウ, ミョウ, かしら","chief, beginning"
"鴈","ガン, かり, かりがね","wild goose"
"狼","ロウ, おおかみ","wolf"
"嫡","チャク, テキ","legitimate wife, direct descent (non-bastard)"
"呪","ジュ, シュ, シュウ, ズ, まじな.う, のろ.い, まじな.い, のろ.う","spell, curse, charm, malediction"
"斬","ザン, サン, セン, ゼン, き.る","beheading, kill, murder"
"尖","セン, とが.る, さき, するど.い","be pointed, sharp, taper, displeased, angry, edgy"
"翫","ガン, もてあそ.ぶ","take pleasure in, play instrument"
"嶽","ガク, たけ","peak"
"尭","ギョウ, たか.い","high, far"
"怨","エン, オン, ウン, うら.む, うらみ, うら.めしい","grudge, show resentment, be jealous"
"卿","ケイ, キョウ, きみ","you, lord, secretary, state minister"
"串","カン, ケン, セン, くし, つらぬ.く","spit, skewer"
"已","イ, や.む, すで.に, のみ, はなはだ","stop, halt, previously, already, long ago"
"嚇","カク, おど.す","menacing, dignity, majesty, threaten"
"巳","シ, み","sign of the snake or serpent, 9-11AM, sixth sign of Chinese zodiac"
"凸","トツ, でこ","convex, beetle brow, uneven"
"暢","チョウ, のび.る","stretch"
"腫","シュ, ショウ, は.れる, は.れ, は.らす, はれもの","tumor, swelling"
"粟","ゾク, ショク, ソク, あわ, もみ","millet"
"燕","エン, つばめ, つばくら, つばくろ","swallow (bird)"
"韻","イン","rhyme, elegance, tone"
"綴","テイ, テツ, テチ, ゲツ, と.じる, つづ.る, つづり, すみ.やか","compose, spell, write, bind (books)"
"埴","ショク, はに, へな","clay"
"霜","ソウ, しも","frost"
"餅","ヘイ, ヒョウ, もち, もちい","mochi rice cake"
"魯","ロ, おろか","foolish, Russia"
"硝","ショウ","nitrate, saltpeter"
"牡","ボ, ボウ, おす, お-, おん-","male"
"箸","チョ, チャク, はし","chopsticks"
"勅","チョク, いまし.める, みことのり","imperial order"
"芹","キン, せり","parsley"
"杏","キョウ, アン, コウ, あんず","apricot"
"迦","カ, ケ","(used phonetically)"
"棺","カン","coffin, casket"
"儒","ジュ","Confucian"
"鳳","ホウ, フウ","male mythical bird"
"馨","ケイ, キョウ, かお.る, かおり","fragrant, balmy, favourable"
"斑","ハン, ふ, まだら","spot, blemish, speck, patches"
"蔭","イン, オン, かげ","shade, shadow, backing assistance"
"焉","エン, いずく.んぞ, ここに, これ","how, why, then"
"慧","ケイ, エ, さとい","wise"
"祇","ギ, キ, シ, くにつかみ, ただ, まさに","national or local god, peaceful, great"
"摯","シ, いた.る, つか.む, にえ","gift, seriousness"
"愁","シュウ, うれ.える, うれ.い","distress, grieve, lament, be anxious"
"鷺","ロ, さぎ","heron"
"楼","ロウ, たかどの","watchtower, lookout, high building"
"彬","ヒン, フン, うるわ.しい, あき.らか","refined, gentle"
"袴","コ, ク, はかま, ずぼん","men's formal divided skirt"
"匡","キョウ, オウ, すく.う, ただ.す","correct, save, assist"
"眉","ビ, ミ, まゆ","eyebrow"
"苅","ガイ, カイ, か.る","cutting (grass)"
"讃","サン, ほ.める, たた.える","praise, title on a picture"
"尹","イン, おさ, ただ.す","an official rank"
"欽","キン, コン, つつし.む","respect, revere, long for"
"薪","シン, たきぎ, まき","fuel, firewood, kindling"
"湛","タン, チン, ジン, セン, しず.む, たた.える","fill, wear (a smile), clear, pure, dense, deep"
"堆","タイ, ツイ, うずたか.い","piled high"
"狐","コ, きつね","fox"
"褐","カツ","brown, woollen kimono"
"鴎","オウ, かもめ","seagull"
"瀋","シン","juice, broth"
"挺","チョウ, テイ, ぬ.く","bravely volunteer, counter for guns, inksticks, palanquins, rickshaws"
"賜","シ, たまわ.る, たま.う, たも.う","grant, gift, boon, results"
"嵯","サ, シ","steep, craggy, rugged"
"雁","ガン, かり, かりがね","wild goose"
"佃","テン, デン, つくだ","cultivated rice field"
"綜","ソウ, おさ.める, す.べる","rule, synthesize"
"繕","ゼン, つくろ.う","darning, repair, mend, trim, tidy up, adjust"
"狛","ハク, こま","archaic part of Korea, lion-dog shrine guards"
"壷","コ, つぼ","jar, pot, hinge knuckle, one's aim"
"橿","キョウ, かし, もちのき","oak"
"栓","セン","plug, bolt, cork, bung, stopper"
"翠","スイ, かわせみ, みどり","green, kingfisher"
"鮎","デン, ネン, あゆ, なまず","freshwater trout, smelt"
"芯","シン","wick"
"蜜","ミツ, ビツ","honey, nectar, molasses"
"播","ハ, バン, ハン, ま.く","plant, sow"
"榛","シン, ハン, はしばみ, はり","hazelnut, filbert"
"凹","オウ, くぼ.む, へこ.む, ぼこ","concave, hollow, sunken"
"艶","エン, つや, なま.めかしい, あで.やか, つや.めく, なま.めく","glossy, luster, glaze, polish, charm, colorful, captivating"
"帖","チョウ, ジョウ, かきもの","quire (of paper), bundle of seaweed, counter for screens, notebook"
"伺","シ, うかが.う","pay respects, visit, ask, inquire, question, implore"
"桶","ヨウ, トウ, おけ","tub, bucket"
"惣","ソウ, すべ.て","all"
"股","コ, また, もも","thigh, crotch"
"匂","にお.う, にお.い, にお.わせる","fragrant, stink, glow, insinuate, (kokuji)"
"鞍","アン, くら","saddle"
"蔦","チョウ, つた","vine, ivy"
"玩","ガン, もちあそ.ぶ, もてあそ.ぶ","play, take pleasure in, trifle with, make sport of"
"萱","ケン, かや, かんぞう","miscanthus reed"
"梯","テイ, タイ, はしご","ladder, stairs, insatiable drinking"
"雫","ダ, しずく","drop, trickle, dripping, (kokuji)"
"絆","ハン, きずな, ほだ.す, つな.ぐ","bonds, fetters"
"錬","レン, ね.る","tempering, refine, drill, train, polish"
"湊","ソウ, みなと, あつ.まる","port, harbor"
"蜂","ホウ, はち","bee, wasp, hornet"
"隼","シュン, ジュン, はやぶさ","falcon"
"舵","ダ, タ, かじ","rudder, helm, wheel"
"渚","ショ, なぎさ","strand, beach, shore"
"珂","カ","jewel"
"煥","カン, あきらか","shine"
"衷","チュウ","inmost, heart, mind, inside"
"逐","チク","pursue, drive away, chase, accomplish, attain, commit"
"斥","セキ, しりぞ.ける","reject, retreat, recede, withdraw, repel, repulse"
"稀","キ, ケ, まれ, まばら","rare, phenomenal, dilute (acid)"
"癌","ガン","cancer, cancerous evil"
"峨","ガ, けわ.しい","high mountain"
"嘘","キョ, コ, うそ, ふ.く","lie, falsehood"
"旛","ヘン, ハン, はた","flag"
"篭","ロウ, ル, かご, こ.める, こも.る, こ.む","seclude oneself, cage, coop, implied"
"芙","フ","lotus, Mt Fuji"
"詔","ショウ, みことのり","imperial edict"
"皐","コウ, さつき","swamp, shore, fifth month"
"雛","スウ, ス, ジュ, ひな, ひよこ","chick, squab, duckling, doll"
"娼","ショウ, あそびめ","prostitute"
"篆","テン","seal-style characters"
"鮫","コウ, さめ, みずち","shark"
"椅","イ","chair"
"惟","イ, ユイ, おも.んみる, これ, おも.うに","consider, reflect, think"
"牌","ハイ, ぱい, ふだ","label, signboard, medal, mahjong tiles"
"宕","トウ, すぎる","cave"
"喧","ケン, やかま.しい, かまびす.しい","noisy, boisterous"
"佑","ユウ, ウ, たす.ける","help, assist"
