"伊","イ, かれ","Italy, that one"
"脹","チョウ, は.れる, ふく.らむ, ふく.れる","dilate, distend, bulge, fill out, swell"
"柘","シャ, ジャク, そ, つげ, やまぐわ","wild mulberry"
"紬","チュウ, つむぎ, つむ.ぐ","pongee (a knotted silk cloth)"
"汀","テイ, みぎわ, なぎさ","water's edge, shore, bank"
"鼎","テイ, かなえ","three legged kettle"
"擢","テキ, タク, ぬ.く, ぬき.んでる","excel in, surpass, pull out, select"
"纏","テン, デン, まつ.わる, まと.う, まと.める, まと.まる, まと.い","wear, wrap, tie, follow around, collect"
"兎","ト, ツ, うさぎ","rabbit, hare"
"堵","ト, かき","fence, railing, enclosure"
"砥","シ, テイ, キイ, チ, と, といし, と.ぐ, みが.く","whetstone, grindstone"
"套","トウ, かさ.ねる","accumulate, big and long, hackneyed"
"祷","トウ, いの.る, いの.り, まつ.る","pray"
"董","トウ, ただ.す","correct"
"撞","ドウ, トウ, シュ, つ.く","thrust, pierce, stab, prick"
"萄","ドウ, トウ","grape vine, wild grape"
"鳶","エン, とび, とんび","black kite, fireman, hook"
"沌","トン, くら.い","primeval chaos"
"遁","トン, シュン, のが.れる","flee, escape, shirk, evade, set free"
"凪","なぎ, な.ぐ","lull, calm, (kokuji)"
"薙","テイ, チ, な.ぐ, なぎ, か.る","mow down (the enemy)"
"捺","ナツ, ダツ, さ.す, お.す","press, print, affix a seal, stamp"
"馴","ジュン, シュン, クン, な.れる, な.らす, したが.う","get used to, experienced, tamed"
"汝","ジョ, なんじ, なれ, い, うぬ, いまし, し, しゃ, な, なむち, まし, みまし","you, thou"
"賑","シン, にぎ.わい, にぎ.やか, にぎ.わす, にぎ.わう","flourish, be bustling, prosperity"
"廿","ジュウ, ニュウ, にじゅう","twenty"
"禰","ネ, デイ, ナイ","ancestral shrine"
"祢","ネ, デイ, ナイ","ancestral shrine"
"杷","ハ, つか","kind of rake, loquat"
"煤","バイ, マイ, すす","soot, smoke dried"
"這","シャ, ゲン, は.う, は.い, むか.える, この","crawl, creep, grovel, trail (vines)"
"秤","ショウ, ヒン, ビン, はかり","balances, scales, steelyard"
"箔","ハク, すだれ","foil, gilt"
"曝","バク, ホク, ボク, さら.す","bleach, refine, expose, air"
"莫","バク, ボ, マク, モ, ナイ, くれ, なか.れ, なし","must not, do not, be not"
"筈","カツ, はず, やはず","notch of an arrow, ought, must, should be, expected"
"挽","バン, ひ.く","saw, turn (lathe), grind"
"庇","ヒ, ひさし, おお.う, かば.う","protect, shield, defend, eaves, canopy, penthouse, visor"
"枇","ビ, ヒ","loquat, spoon"
"毘","ヒ, ビ, たす.ける","help, assist"
"柊","シュ, シュウ, ひいらぎ","holly"
"疋","ヒキ, ショ, ソ, ヒツ, あし","head, counter for animals"
"畢","ヒツ, おわ.る, あみ, おわ.り, ことごとく","the end, finish"
"紐","チュウ, ジュウ, ひも","string, cord, braid, lace, tape, strap, ribbon"
"瓢","ヒョウ, ひさご, ふくべ","gourd"
"豹","ヒョウ, ホウ","leopard, panther"
"斧","フ, おの","ax, hatchet"
"葡","ブ, ホ","wild grape, Portugal"
"蕪","ブ, ム, かぶ, かぶら, あれる","turnip"
"楓","フウ, かえで","maple"
"葺","シュウ, あし, ふ.く, ふき","thatch, cover, shingle, tile"
"蕗","ロ, ル, ふき","butterbur, bog rhubarb"
"吻","フン, ブン, くちわき, くちさき","proboscis"
"焚","フン, ホン, ハン, た.く, や.く, やきがり","burn, kindle, build a fire, boil, cook"
"頁","ケツ, ぺえじ, おおがい, かしら","page, leaf"
"瞥","ベツ, ヘツ","glance at"
"娩","ベン","bear (children)"
"鞭","ベン, ヘン, むち, むちうつ","whip, rod, counter for whippings"
"圃","ホ, フ, はたけ, にわ","garden, field"
"戊","ボ, ボウ, つちのえ","5th calendar sign"
"蓬","ホウ, ブ, よもぎ","sagebrush, wormwood, mugwort"
"鋒","ホウ, きっさき, とかり, ほこさき","dagger, sword's point, festival car, float"
"卜","ボク, うらな.う, うらない","divining, fortune-telling, divination or katakana to radical (no. 25)"
"殆","タイ, サイ, ほとほと, ほとん.ど, あやうい","almost, quite, really"
"哩","リ, まいる","mile"
"柾","まさ, まさめ, まさき","straight grain, spindle tree, (kokuji)"
"亦","エキ, ヤク, また","also, again"
"沫","マツ, バツ, あわ, しぶき, つばき","splash, suds"
"迄","キツ, まで, およ.ぶ","until, up to, as far as, to the extent"
"麿","まろ","I, you, (kokuji)"
"蔓","マン, バン, はびこ.る, つる","vine, tendril, influence, connections, good offices, spread, sprawl, thrive, rampant, powerful"
"蓑","サ, サイ, みの","straw raincoat"
"椋","リョウ, むく","type of deciduous tree, grey starling"
"姪","テツ, チツ, ジチ, イツ, イチ, めい, おい","niece"
"勿","モチ, ブツ, ボツ, なか.れ, なし","not, must not, do not, be not"
"尤","ユウ, もっと.も, とが.める","reasonable, just, natural, superb, outstanding, plausible"
"籾","もみ","unhulled rice, (kokuji)"
"匁","もんめ, め","monme, 3.75 grams, (kokuji)"
"耶","ヤ, ジャ, か","question mark"
"宥","ユウ, なだ.める, ゆる.す","soothe, calm, pacify"
"輿","ヨ, かご, こし","palanquin, bier, public opinion, the earth"
"傭","ヨウ, チョウ, やと.う, あた.い, ひと.しい","employ, hire"
"蓉","ヨウ","lotus"
"螺","ラ, にし, にな","small, edible, helical fresh-water mollusk"
"裡","リ, うち, うら","reverse, inside, palm, sole, rear, lining, wrong side"
"掠","リャク, リョウ, かす.める, かす.る, かす.れる","pillage, rob, graze, skim, sweep over, cheat, hint"
"諒","リョウ, あきら.か, まことに","fact, reality, understand, appreciate"
"淋","リン, さび.しい, さみ.しい","lonely, deserted"
"琳","リン","jewel, tinkling of jewelry"
"麟","リン","Chinese unicorn, genius, giraffe, bright, shining"
"伶","レイ, リョウ, わざおぎ","actor"
"憐","レン, あわ.れむ, あわ.れ","pity, have mercy, sympathise, compassion"
"漣","レン, ラン, さざなみ","ripples"
"煉","レン, ね.る","refine metals, kneading over fire"
"簾","レン, すだれ, す","bamboo screen, rattan blind"
"櫓","ロ, やぐら, おおだて","oar, tower"
"肋","ロク, あばら","rib"
"亙","コウ, カン, わた.る, もと.める","range, reach, extend, cover"
"椀","ワン, はち","wooden or lacquered bowl"
"碗","ワン, こばち","porcelain bowl, tea cup"
"侑","ユウ, ウ, すす.める, たす.ける","urge to eat"
"俐","リ, かしこ.い","clever"
"凛","リン, きびし.い","cold, strict, severe"
"凰","コウ, オウ, おおとり","female phoenix bird"
"勁","ケイ, つよ.い","strong"
"奎","ケイ, キ","star, god of literature"
"崚","リョウ","mountains towering in a row"
"巖","ガン, いわ, いわお, けわ.しい","rock, crag, boulder"
"巫","フ, みこ, かんなぎ","sorcerer, medium, shrine maiden"
"徠","ライ, きた.す, きた.る, く.る","induce, encourage to come"
"惺","セイ, さと.る","realize"
"昊","コウ, そら","sky, big"
"昴","コウ, ボウ, すばる","the Pleiades"
"晏","アン, おそ.い","late, quiet, sets (sun)"
"晄","コウ, あきらか","clear"
"晨","シン, あした, とき, あさ","morning, early"
"晟","セイ, ジョウ, あきらか","clear"
"栞","カン, しおり","bookmark, guidebook"
"梛","ダ, ナ, なぎ","type of tall evergreen tree"
"椰","ヤ, やし","coconut tree"
"橙","トウ, だいだい","bitter orange"
"櫂","トウ, タク, かい, かじ","oar, scull, paddle"
"洵","ジュン, シュン, の.ぶ, まこと.に","alike, truth"
"渾","コン, すべ.て, にご.る","all, turbidity"
"滉","コウ, ひろ.い","deep and broad (water)"
"澪","レイ, みお","water route, shipping channel"
"煌","コウ, きらめ.く, きら.めく, かがや.く","glitter, gleam, twinkle"
"燎","リョウ, かがりび","burn, bonfire"
"燿","ヨウ, かがや.く, ひかり","shine"
"珈","カ, かみかざり","ornamental hairpin"
"珀","ハク","amber"
"琥","コ","jewelled utensil"
"瑶","ヨウ, たま","beautiful as a jewel"
"眸","ボウ, ム, ひとみ","pupil of the eye"
"祿","ロク, さいわ.い, ふち","fief, allowance, pension, grant, happiness"
"稟","リン, ヒン, こめぐら","salary in rice"
"穰","ジョウ, わら, ゆたか","abundance"
"穹","キュウ, キョウ, あめ, そら","sky"
"笙","ショウ, ソウ, ふえ","a reed instrument"
"綸","リン, カン, いと","thread, silk cloth"
"羚","レイ, リョウ, かもしか","antelope"
"苺","バイ, マイ, いちご","strawberry"
"茉","マツ, バツ, マ","jasmine"
"莉","リ, ライ, レイ","jasmine"
"菫","キン, すみれ","the violet"
"萠","ホウ, も.える, きざ.す, めばえ, きざ.し","show symptoms of, sprout, bud, malt"
"蕾","ライ, つぼみ","bud (plants, mushrooms not yet opened)"
"詢","ジュン, シュン, はか.る, まこと","consult with"
"諄","シュン, ひちくど.い, くど.い, くどくど, ねんご.ろ","tedious"
"迪","テキ, みち, みちび.く, すす.む, いた.る","edify, way, path"
"逞","テイ, たくま.しい","sturdy, brawny, bold"
"釉","ユウ, うわぐすり","glaze, enamel"
"頌","ショウ, ジュ, ヨウ, かたち, たた.える, ほめ.る","eulogy"
"颯","サツ, ソウ, さっ.と","sudden, quick, sound of the wind"
"驍","ギョウ, キョウ, たけし, つよ.い","strong, good horse, gallant, brave, ferocious"
"麒","キ","Chinese unicorn, genius, giraffe, bright, shining"
"堯","ギョウ, たか.い","high, far"
"槇","テン, シン, まき, こずえ","twig, Chinese black pine"
"遙","ヨウ, はる.か","far off, distant, long ago"
"凜","リン, きびし.い","cold, strict, severe"
"熙","キ, たのし.む, ひか.る, ひろ.い, よろこ.ぶ, かわ.く, あきらか, ひろ.める, ひろ.まる","bright, sunny, prosperous, merry"
"俠","キョウ, キャン, おとこだて","chivalrous person, chivalry, knight-errant, tomboy"
"摑","カク, つか.む, つか.まえる, つか.まる","box one's ears, slap"
"焰","エン, ほのお","flame, blaze, glowing, blazing"
"禱","トウ, いの.る, まつ.る","pray, entreat, beg, plead, prayer"
"繡","シュウ, ぬいとり","embroider, embroidery, ornament"
"繫","ケイ, つな.ぐ, かか.る, か.ける","attach, connect, unite, fasten"
"萊","ライ, リ, あかざ, あれわ, こうがい","goosefoot, weed, fallow field"
"蔣","ショウ, ソウ, まこも, はげ.ます","surname, hydropyrum latifalium"
"蠟","ロウ, みつろう, ろうそく","wax, candle, waxy, glazed"
"醬","ショウ, ひしお","any jam-like or paste-like food"
"顚","テン, いただ.き, たお.れる","top, peak, summit, upset"
"鷗","オウ, かもめ","seagull, tern"
"俱","ク, ともに","all, together, accompany"
"吞","ドン, トン, テン, のむ","swallow, absorb, annex, engulf"
"簞","タン, はこ","small bamboo basket for holding"
"蟬","セン, ゼン, せみ","cicada, continuous"
"猪","チョ, いのしし, い","pig"
"渚","ショ, なぎさ",""
"琢","タク, みがく","polish"
"祐","ユウ, たすけ, たすける","help"
"禎","テイ, さいわい",""
