"伊","イ, かれ","Italy, that one"
"芭","バ, ハ","banana"
"逗","トウ, ズ, とど.まる","stop"
"楢","シュウ, ユウ, なら","oak"
"蕉","ショウ","banana, plantain"
"兜","トウ, ト, かぶと","helmet, head piece"
"琉","リュウ, ル","precious stone, gem, lapis lazuli"
"朋","ホウ, とも","companion, friend"
"烏","ウ, オ, からす, いずくんぞ, なんぞ","crow, raven"
"奄","エン, おお.う, たちまち","cover, suffocate, obstruct"
"遼","リョウ","distant"
"橘","キツ, たちばな","mandarin orange"
"漱","ソウ, シュウ, ス, くちすす.ぐ, くちそそ.ぐ, うがい, すす.ぐ","gargle, rinse mouth"
"桧","カイ, ひのき, ひ","Japanese cypress"
"宋","ソウ","dwell, Sung dynasty"
"苑","エン, オン, その, う.つ","garden, farm, park"
"巽","ソン, たつみ","southeast"
"杜","ト, トウ, ズ, もり, ふさ.ぐ, やまなし","woods, grove"
"欣","キン, ゴン, コン, よろこ.ぶ, よろこ.び","take pleasure in, rejoice"
"篇","ヘン","volume, chapter, book, editing, compilation"
"此","シ, これ, この, ここ","this, current, next, coming, last, past"
"巴","ハ, ともえ, うずまき","comma-design"
"禎","テイ, さいわ.い","happiness, blessed, good fortune, auspicious"
"菩","ボ","kind of grass, sacred tree"
"檜","カイ, ひのき, ひ","Japanese cypress"
"稜","リョウ, ロウ, いつ, かど","angle, edge, corner, power, majesty"
"牟","ボウ, ム","pupil (eye), moo (cow sound)"
"榊","さかき","sacred Shinto tree, (kokuji)"
"錫","セキ, シャク, すず, たま.う","copper, tin"
"倭","ワ, イ, やまと, したが.う","Yamato, ancient Japan"
"廟","ビョウ, ミョウ, たまや, みたまや, やしろ","mausoleum, shrine, palace"
"斐","ヒ, イ","beautiful, patterned"
"魁","カイ, さきがけ, かしら","charging ahead of others"
"鴻","コウ, ゴウ, おおとり, ひしくい, おおがり","large bird, wild goose, large, great, powerful, prosperous"
"於","オ, ヨ, おい.て, お.ける, ああ, より","at, in, on, as for"
"赳","キュウ","strong and brave"
"逢","ホウ, あ.う, むか.える","meeting, tryst, date, rendezvous"
"凧","いかのぼり, たこ","kite, (kokuji)"
"鵜","テイ, ダイ, う","cormorant"
"庵","アン, いおり, いお","hermitage, retreat"
"葵","キ, あおい","hollyhock"
"禄","ロク, さいわ.い, ふち","fief, allowance, pension, grant, happiness"
"孟","モウ, ボウ, ミョウ, かしら","chief, beginning"
"狼","ロウ, おおかみ","wolf"
"尖","セン, とが.る, さき, するど.い","be pointed, sharp, taper, displeased, angry, edgy"
"尭","ギョウ, たか.い","high, far"
"卿","ケイ, キョウ, きみ","you, lord, secretary, state minister"
"已","イ, や.む, すで.に, のみ, はなはだ","stop, halt, previously, already, long ago"
"巳","シ, み","sign of the snake or serpent, 9-11AM, sixth sign of Chinese zodiac"
"暢","チョウ, のび.る","stretch"
"粟","ゾク, ショク, ソク, あわ, もみ","millet"
"燕","エン, つばめ, つばくら, つばくろ","swallow (bird)"
"綴","テイ, テツ, テチ, ゲツ, と.じる, つづ.る, つづり, すみ.やか","compose, spell, write, bind (books)"
"埴","ショク, はに, へな","clay"
"魯","ロ, おろか","foolish, Russia"
"牡","ボ, ボウ, おす, お-, おん-","male"
"芹","キン, せり","parsley"
"杏","キョウ, アン, コウ, あんず","apricot"
"迦","カ, ケ","(used phonetically)"
"鳳","ホウ, フウ","male mythical bird"
"馨","ケイ, キョウ, かお.る, かおり","fragrant, balmy, favourable"
"蔭","イン, オン, かげ","shade, shadow, backing assistance"
"慧","ケイ, エ, さとい","wise"
"祇","ギ, キ, シ, くにつかみ, ただ, まさに","national or local god, peaceful, great"
"鷺","ロ, さぎ","heron"
"彬","ヒン, フン, うるわ.しい, あき.らか","refined, gentle"
"袴","コ, ク, はかま, ずぼん","men's formal divided skirt"
"匡","キョウ, オウ, すく.う, ただ.す","correct, save, assist"
"讃","サン, ほ.める, たた.える","praise, title on a picture"
"欽","キン, コン, つつし.む","respect, revere, long for"
