"添","テン, そ.える, そ.う","annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate"
"汗","カン, あせ","sweat, perspire"
"冠","カン, かんむり","crown, best, peerless"
"斜","シャ, なな.め, はす","diagonal, slanting, oblique"
"銅","ドウ, あかがね","copper"
"鏡","キョウ, ケイ, かがみ","mirror, speculum, barrel-head, round rice-cake offering"
"聡","ソウ, さと.い, みみざと.い","wise, fast learner"
"浪","ロウ","wandering, waves, billows, reckless, unrestrained"
"亜","ア, つ.ぐ","Asia, rank next, come after, -ous"
"覧","ラン, み.る","perusal, see"
"詐","サ, いつわ.る","lie, falsehood, deceive, pretend"
"壇","ダン, タン","podium, stage, rostrum, terrace"
"勲","クン, いさお","meritorious deed, merit"
"魔","マ","witch, demon, evil spirit"
"酬","シュウ, シュ, トウ, むく.いる","repay, reward, retribution"
"紫","シ, むらさき","purple, violet"
"湿","シツ, シュウ, しめ.る, しめ.す, うるお.う, うるお.す","damp, wet, moist"
"曙","ショ, あけぼの","dawn, daybreak"
"紋","モン","family crest, figures"
"卸","シャ, おろ.す, おろし, おろ.し","wholesale"
"奮","フン, ふる.う","stirred up, be invigorated, flourish"
"趙","チョウ, ジョウ, キョウ","nimble, late-going"
"欄","ラン, てすり","column, handrail, blank, space"
"逸","イツ, そ.れる, そ.らす, はぐ.れる","deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge"
"涯","ガイ, はて","horizon, shore, limit, bound"
"拓","タク, ひら.く","clear (the land), open, break up (land)"
"眼","ガン, ゲン, まなこ, め","eyeball"
"瓶","ビン, かめ, へい","bottle, vial, jar, jug, vat, urn"
"獄","ゴク","prison, jail"
"筑","チク","an ancient musical instrument"
"尚","ショウ, なお","esteem, furthermore, still, yet"
"阜","フ, フウ","hill, mound, left village radical (no. 170)"
"彫","チョウ, ほ.る, -ぼ.り","carve, engrave, chisel"
"咲","ショウ, さ.く, -ざき","blossom, bloom"
"穏","オン, おだ.やか","calm, quiet, moderation"
"顕","ケン, あきらか, あらわ.れる","appear, existing"
"巧","コウ, たく.み, たく.む, うま.い","adroit, skilled, ingenuity"
"矛","ム, ボウ, ほこ","halberd, arms, festival float"
"垣","エン, かき","hedge, fence, wall"
"召","ショウ, め.す","seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)"
"欺","ギ, あざむ.く","deceit, cheat, delude"
"釣","チョウ, つ.る, つ.り, つ.り-","angling, fish, catch, allure, ensnare"
"缶","カン, かま","tin can, container, jar radical (no. 121)"
"萩","シュウ, はぎ","bush clover"
"粧","ショウ","cosmetics, adorn (one's person)"
"隻","セキ","vessels, counter for ships, fish, birds, arrows, one of a pair"
"葛","カツ, カチ, つづら, くず","arrowroot, kudzu"
"脂","シ, あぶら","fat, grease, tallow, lard, rosin, gum, tar"
"粛","シュク, スク, つつし.む","solemn, quietly, softly"
"栗","リツ, リ, くり, おののく","chestnut"
"愚","グ, おろ.か","foolish, folly, absurdity, stupid"
"蒸","ジョウ, セイ, む.す, む.れる, む.らす","steam, heat, sultry, foment, get musty"
"嘉","カ, よみ.する, よい","applaud, praise, esteem, happy, auspicious"
"遭","ソウ, あ.う, あ.わせる","encounter, meet, party, association, interview, join"
"架","カ, か.ける, か.かる","erect, frame, mount, support, shelf, construct"
"篠","ゾウ, ショウ, しの, ささ, すず","bamboo grass"
"鬼","キ, おに, おに-","ghost, devil"
"庶","ショ","commoner, all, bastard"
"肌","キ, はだ","texture, skin, body, grain"
"稚","チ, ジ, いとけない, おさない, おくて, おでる","immature, young"
"靴","カ, くつ","shoes"
"菅","カン, ケン, すげ","sedge"
"滋","ジ, シ","nourishing, more & more, be luxuriant, planting, turbidity"
"幻","ゲン, まぼろし","phantasm, vision, dream, illusion, apparition"
"煮","シャ, に.る, -に, に.える, に.やす","boil, cook"
"姫","キ, ひめ, ひめ-","princess"
"誓","セイ, ちか.う","vow, swear, pledge"
"耕","コウ, たがや.す","till, plow, cultivate"
"把","ハ, ワ","grasp, faggot, bunch, counter for bundles"
"践","セン, ふ.む","tread, step on, trample, practice, carry through"
"呈","テイ","display, offer, present, send, exhibit"
"疎","ソ, ショ, うと.い, うと.む, まば.ら","alienate, rough, neglect, shun, sparse, penetrate"
"仰","ギョウ, コウ, あお.ぐ, おお.せ, お.っしゃる, おっしゃ.る","face-up, look up, depend, seek, respect, revere, drink, take"
"鈍","ドン, にぶ.い, にぶ.る, にぶ-, なま.る, なまく.ら","dull, slow, foolish, blunt"
"恥","チ, は.じる, はじ, は.じらう, は.ずかしい","shame, dishonor"
"剛","ゴウ","sturdy, strength"
"疾","シツ, はや.い","rapidly"
"征","セイ","subjugate, attack the rebellious, collect taxes"
"砕","サイ, くだ.く, くだ.ける","smash, break, crush, familiar, popular"
"謡","ヨウ, うた.い, うた.う","song, sing, ballad, noh chanting"
"嫁","カ, よめ, とつ.ぐ, い.く, ゆ.く","marry into, bride"
"謙","ケン, へりくだ.る","self-effacing, humble oneself, condescend, be modest"
"后","コウ, ゴ, きさき","empress, queen, after, behind, back, later"
