"蒋","ショウ, ソウ, まこも, はげ.ます","reed"
"薔","バ, ショウ, ショク, ソウ, みずたで","water pepper"
"膠","コウ, キョウ, にかわ, にべ","glue, isinglass"
"允","イン, じょう, まこと.に, ゆるす","license, sincerity, permit"
"眞","シン, ま, まこと","truth, reality, Buddhist sect"
"蒙","モウ, ボウ, こうむ.る, おお.う, くら.い","ignorance, darkness, get, receive, be subjected to, sustain, Mongolia"
"蕃","バン, ハン","grow luxuriously"
"呑","トン, ドン, の.む","drink"
"侯","コウ","marquis, lord, daimyo"
"碓","カク, タイ, たし.か, かく.たる","pestle"
"茗","ミョウ, メイ, ちゃ","tea"
"麓","ロク, ふもと","foot of a mountain"
"瀕","ヒン, ほとり","shore, brink, verge"
"蒔","シ, ジ, う.える, ま.く","sow (seeds)"
"鯉","リ, こい","carp"
"竪","ジュ, たて, た.てる, こども","length, height, warp"
"弧","コ","arc, arch, bow"
"稽","ケイ, かんが.える, とど.める","think, consider"
"瘤","リュウ, ル, こぶ","lump, swelling"
"澤","タク, さわ, うるお.い, うるお.す, つや","swamp"
"溥","フ, ハク, あまねし","far and wide"
"遥","ヨウ, はる.か","far off, distant, long ago"
"蹴","シュク, シュウ, け.る","kick"
"或","ワク, コク, イキ, あ.る, あるい, あるいは","some, one, or, possibly, a certain"
"訃","フ, しらせ","obituary"
"矩","ク, かね, かねざし, さしがね","ruler, carpenter's square"
"厦","カ, サ, いえ","house"
"冤","エン","false charge, hatred"
"剥","ハク, ホク, へ.ぐ, へず.る, む.く, む.ける, は.がれる, は.ぐ, は.げる, は.がす","come off, peel, fade, discolor"
"舜","シュン","type of morning glory, rose of Sharon, althea"
"侠","キョウ, きゃん, おとこだて","tomboy, chivalry"
"贅","ゼイ, セイ, いぼ","luxury"
"杖","ジョウ, つえ","staff, cane"
"蓋","ガイ, カイ, コウ, ふた, けだ.し, おお.う, かさ, かこう","cover, lid, flap"
"畏","イ, おそ.れる, かしこま.る, かしこ, かしこ.し","fear, majestic, graciously, be apprehensive"
"喉","コウ, のど","throat, voice"
"汪","オウ","flowing full, expanse of water, wide, deep"
"猷","ユウ, ヨウ, はかりごと, はか.る","plan, scheme, plot, way"
"瑛","エイ","sparkle of jewelry, crystal"
"搜","ソウ, シュ, シュウ, さが.す","search, seek, investigate"
